"","Beds","FBaths","Garage_Spaces","HBaths","DOM","Housing_Older_Persons_Act","Membership_Purch_Rqd","Pets_Allowed","Sale_Price","SqFt_Liv_Area","Style","Waterfront_Property","Year_Built","Zip_Code","Assoc_Fee_Paid","fecha","Marble","Vinyl","Clay","Terrazzo","Parquet","Tile","Ceramic","Carpeted","Wood","None","Street_Parking","One_Space","Two_Or_More_Spaces","Valet_Parking","No_Leasing","Ok_To_Lease","No_Lease_Onest_Year_Owned","No_Restrictions","Tax_Informationcat","Waterfront","East_Of_Us_One","West_Of_Us_One","On_Golf_Course","Penthouse","Corner_Unit","Direct_Ocean","Intracoastal_View","Golf_View","Canal","Ocean_View"
"1",2,2,1,"1",522,"Unverified","0","Yes",2250000,1605,"C42-Condo 5+ Stories","Yes","2015",33139,33324,"5","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","1"
"2",3,3,2,"1",301,"No HOPA","0","Yes",2450000,2236,"C41-Condo 1-4 Stories","No","2017",33139,0,"4","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0"
"3",1,1,1,"1",818,"No HOPA","0","Yes",319000,799,"C42-Condo 5+ Stories","No","2009",33134,7068,"2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"4",1,1,1,"0",903,"Unverified","0","Yes",374000,704,"C42-Condo 5+ Stories","No","2018",33166,4704,"9","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"5",1,2,1,"0",371,"No HOPA","0","Yes",322500,1069,"C42-Condo 5+ Stories","Yes","2008",33132,0,"12","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0"
"6",4,4,2,"1",1559,"Unverified","0","Yes",2200000,0,"C42-Condo 5+ Stories","Yes","2008",33160,38760,"3","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","1","1","0","0","0","1"
"7",4,4,1,"0",1803,"Unverified","0","Yes",2125000,2736,"C42-Condo 5+ Stories","Yes","2006",33160,45048,"2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","1"
"8",2,2,2,"0",1028,"No HOPA","0","No",170000,1466,"C42-Condo 5+ Stories","Yes","1974",33160,8688,"6","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0"
"9",1,1,1,"1",532,"No HOPA","0","Yes",195000,991,"C42-Condo 5+ Stories","No","1975",33160,7152,"12","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"10",2,2,1,"0",336,"No HOPA","0","Yes",540000,1228,"C42-Condo 5+ Stories","No","2011",33139,0,"5","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"11",3,3,1,"1",297,"Unverified","0","Yes",1170000,3173,"C42-Condo 5+ Stories","Yes","2004",33180,23568,"4","1","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1"
"12",1,1,1,"1",523,"No HOPA","0","Yes",245000,860,"C42-Condo 5+ Stories","Yes","1971",33139,5988,"8","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"13",1,1,1,"1",280,"Unverified","0","Yes",347000,790,"C42-Condo 5+ Stories","Yes","2017",33137,8616,"2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0"
"14",1,2,1,"0",356,"No HOPA","0","Yes",375000,885,"C42-Condo 5+ Stories","Yes","2017",33137,8616,"2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"15",2,2,1,"1",345,"Unverified","0","Yes",370000,1174,"C42-Condo 5+ Stories","Yes","2005",33137,10944,"5","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"16",1,1,1,"0",982,"Unverified","0","Yes",180000,685,"C42-Condo 5+ Stories","Yes","2003",33126,3780,"6","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"17",2,2,1,"0",386,"Unverified","0","Yes",540000,0,"C42-Condo 5+ Stories","Yes","1974",33129,11424,"1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","1"
"18",2,2,1,"0",1481,"Unverified","0","Yes",445000,1267,"C42-Condo 5+ Stories","Yes","2006",33131,9840,"4","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0"
