,Street_Name,X,Beds,Baths,Garage_Spaces,Baths.1,City_Name,Closing_Date,Complex_Name,County,DOM,Sale_Price,Street_Number_Numeric,Unit_Floor_Location,Waterfront_Description,Year_Built,Zip_Code,longitude,latitude
531,Biscayne Blvd,3.0,5.0,6.0,0.0,1.0,Miami,2020-03-26,One Thousand Museum,Miami-Dade County,179.0,19800000.0,1000.0,59.0,Bay Front,2019.0,33132.0,-80.1694305,25.8758273
533,Biscayne Blvd,5.0,5.0,6.0,7.0,1.0,Miami,2020-03-19,One Thousand Museum,Miami-Dade County,128.0,13800000.0,1000.0,57.0,Bay Front,2019.0,33132.0,-80.1694305,25.8758273
973,Collins Ave,6.0,5.0,6.0,2.0,0.0,Surfside,2020-01-07,Surf Club Four Seasons,Miami-Dade County,730.0,12650000.0,9111.0,8.0,Other Waterfront,2017.0,33154.0,-80.1210954,25.8632138
934,Collins Ave,12.0,3.0,4.0,2.0,1.0,Bal Harbour,2020-01-17,OCEANA BAL HARBOUR,Miami-Dade County,84.0,8475000.0,10201.0,17.0,Ocean Front,2016.0,33154.0,-80.1210954,25.8632138
1026,Collins Avenue,17.0,3.0,4.0,1.0,1.0,Surfside,2020-01-23,The Surf Club Four Season,Miami-Dade County,140.0,7000000.0,9111.0,8.0,Ocean Front,2017.0,33154.0,-80.1210954,25.8632138
1108,Fisher Island Dr,9.0,6.0,6.0,4.0,1.0,Fisher Island,2020-03-09,Bayview,Miami-Dade County,340.0,6795000.0,5012.0,1.0,Bay Front,2001.0,33109.0,-80.1413061,25.7607775
548,Biscayne Blvd,20.0,4.0,5.0,2.0,1.0,Miami,2019-12-28,One Thousand Museum,Miami-Dade County,15.0,6000000.0,1000.0,42.0,Bay Front,2019.0,33132.0,-80.1694305,25.8758273
1528,Ocean Dr,28.0,4.0,4.0,2.0,1.0,Miami Beach,2020-03-02,321 Ocean,Miami-Dade County,89.0,5750000.0,321.0,3.0,Ocean Front,2015.0,33139.0,-80.1311819,25.7779458
1713,Pointe Dr,27.0,3.0,4.0,1.0,1.0,Miami Beach,2019-12-30,Continuum South Tower,Miami-Dade County,180.0,5550000.0,100.0,6.0,Ocean Front,2002.0,33139.0,-90.1903353,38.6302789
828,Collins Ave,33.0,2.0,2.0,2.0,1.0,Surfside,2020-03-18,Surf Club Four Seasons,Miami-Dade County,192.0,5450000.0,9111.0,6.0,Ocean Front,2017.0,33154.0,-80.1210954,25.8632138
752,COLLINS AV,26.0,4.0,4.0,2.0,1.0,Bal Harbour,2020-02-27,ST REGIS BAL HARBOUR,Miami-Dade County,58.0,5300000.0,9705.0,9.0,Ocean Access,2011.0,33154.0,-80.121392,25.833502
1613,Ocean Dr,24.0,3.0,4.0,3.0,1.0,Miami Beach,2020-03-27,IL VILLAGGIO,Miami-Dade County,260.0,5100000.0,1455.0,4.0,Ocean Front,1998.0,33139.0,-80.1311819,25.7779458
